Country,Country Code,Source NC#,Year,Policy Name,Policy Description,Objective and/or Activity Affected,Relevance for Electricity Generation,GHG Affected,Printed Page Number,Format,Additional Comments,Link
Ireland,IRL,NC7,2008,Building Regulations Part L Conservation of Fuel and Energy in Dwellings,The 2008 Part L Building Regulations for Dwellings were one of a series of incrementally improved efficiency standards which is now moving towards low to zero carbon housing.,EXPIRED - Efficiency improvements of buildings (Energy consumption),no,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",373,table,,
Ireland,IRL,NC7,2008,Energy Efficient Boiler Regulation,The measure set a minimum seasonal efficiency of 86% for boilers installed in existing or new dwellings from 2008 and 90% from 2011. The 2008 Part L Building Regulations imposed a minimum boiler efficiency of 86% for all boilers installed in new or existing buildings. This was further improved to a minimum boiler efficiency of 90% in 2011 Building Regulations.,Efficiency improvements of buildings (Energy consumption),no,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",373,table,,
Ireland,IRL,NC7,2005,Renewables - With Measures scenario (Electricity Generation),This measure encompasses the development of renewable energy in electricity generation under the With Measures scenario. Under this measure RES-E is 22.7% in 2020.,Increase in renewable energy (Energy supply),yes,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",379,table,,
Ireland,IRL,NC7,2006,CHP Deployment - Public and Business sectors,"The CHP Deployment programme provided grants for selected renewable and alternative heat sources and was designed to prime the market and to establish a supply chain. The CHP Deployment programme provided grant aid towards the installation of small scale CHP, up to 1 MWe at sites with a suitable heat load.","Switch to less carbonintensive fuels (Energy supply), Increase in renewable energy (Energy supply), Efficiency improvements of buildings (Energy consumption)",yes,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",370,table,also in NC4 p.27,
Ireland,IRL,NC7,2006,Greener Homes Scheme,The measure provided grant aid for the installation of renewable domestic heating system,Efficiency improvements of buildings (Energy consumption),no,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",375,table,also present in NC5 p.66,
Ireland,IRL,NC7,2008,Accelerated Capital Allowance for energy efficient equipment,"The Accelerated Capital Allowance for Energy Efficiency Equipment (ACA), introduced in 2008, aims to improve the energy efficiency of Irish companies by encouraging them to purchase energy saving technologies. The ACA is a tax incentive for companies paying corporation tax and aims to encourage investment in energy efficient equipment. The ACA offers an attractive incentive whereby it allows companies to write off 100% of the purchase value of qualifying energy efficient equipment against their profit in the year of purchase.","Efficiency
improvement of
appliances (Energy
consumption),
Efficiency
improvement in
services/ tertiary
sector (Energy
consumption),
Efficiency
improvement in
industrial end-use
sectors (Energy
consumption)",no,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",369,table,measure no longer in place,
Ireland,IRL,NC7,2006,"Renewable Heat (ReHeat) Deployment Programme - Public and Business
sectors (2006-2008)",The ReHeat programme provided grants for selected renewable and alternative heat sources and was designed to prime the market and to establish a supply chain.,"Efficiency improvement in services/ tertiary sector (Energy consumption), Increase in renewable energy (Energy supply), The ReHeat programme provided grant aid towards the installation of renewable and alternative heating technologies in the tertiary sector ()",yes,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",371,table,also present in NC5 p.51,
Ireland,IRL,NC7,2008,Carbon Tax,"Incorporate a price signal for carbon on the non -ETS sector, specifically fuels used for heating and transport. The tax applies to petrol, diesel, kerosene, marked gas oil (for agricultural use), Liquid Petroleum Gas (LPG), fuel oil, natural gas, coal and commercial peat.","Efficiency
improvements of
buildings (Energy
consumption), Demand
management/reduction
(Energy consumption),
Demand
management/reduction
(Transport), Cross
sectoral tax on fuel
used for heating and
transport ()",yes,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",371,table,also present in NC6 p.134,
Ireland,IRL,NC7,2008,Small and Medium Enterprises (SME) Programme,"The programme aims to increase energy efficiency in SMEs through providing advice, mentoring and training to participating SMEs","Efficiency improvement in services/ tertiary sector (Energy consumption), Efficiency improvements of buildings (Energy consumption), Demand management/reduction (Energy consumption)",no,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",372,table,,
Ireland,IRL,NC7,2008,Domestic Lighting (EcoDesign Directive),The measure is a phasing out of incandescent lights through the Energy related Products Directive (2009/125/EC) and Commission Regulation (EC) No 244/2009. Commission Regulation (EC) No 244/2009 of 18 March 2009 implements Directive 2005/32/EC (superseded by Directive 2009/125/EC) with regard to eco-design requirements for non-directional household lamps. The regulation provides for the phased introduction of minimum efficiency standards for lamps and effectively phases out incandescent lamps.,Demand management/re duction (Energy consumption),no,Carbon dioxide (CO2),374,table,also present in NC5 p.62,
Ireland,IRL,NC7,2008,Building Regulations Part L Conservatio n of Fuel and Energy in Dwellings,The 2008 Part L Building Regulations for Dwellings were one of a series of incrementally improved efficiency standards which is now moving towards low to zero carbon housing,EXPIRED - Efficiency improvements of buildings (Energy consumption),no,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",373,table,,
Ireland,IRL,NC7,2008,Energy Efficiency in Power Generation,"Investment in new, efficient power generation plant and renewable electricity generation. This PAM includes the promotion and prioritising energy efficiency in investment decisions for new generation plant, promoting competition in the All-Island Single Electricity Market and providing incentives to encourage large energy users to reduce peak energy use","Increase in renewable energy (Energy supply), Reduction of losses (Energy supply), Efficiency improvement in the energy and transformation sector (Energy supply)",yes,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",377,table,,
Ireland,IRL,NC7,2008,Energy Efficiency in Electricity Transmission and Distribution,Upgrades to the electricity transmission and distribution networks to improve efficiency. Measures to improve efficiency include placing targets for reduced losses on the Transmission System Operator.,Reduction of losses (Energy supply),no,"Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O)",378,table,,
