"","...1","Column1","Country","Country.Code","Year","Policy.Name","Policy.Description","Link","Year:.implementation","Year:.decision","Year:.end","Indicator.database.source"
"1333",1341,1341,"United Kingdom","GBR",2013,"Energy Company Obligation","The Energy Company Obligation (ECO) is a statutory_x000D_
obligation on energy suppliers with over 250,000 domestic_x000D_
customers and delivering over a certain amount of_x000D_
electricity or gas to make reductions in carbon emissions_x000D_
or achieve heating cost savings in domestic households._x000D_
ECO focuses on insulation measures, and also heating_x000D_
improvements to low income and vulnerable households. It_x000D_
ran until March 2017. ECO initially ran to Mar 15 (also known_x000D_
as <U+2018>ECO1<U+2019>), although was extended in April 2014 to March_x000D_
2017(<U+2018>ECO2<U+2019>).",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1334",1342,1342,"United Kingdom","GBR",2013,"Climate change agreements (CCA) *","Climate Change Agreements offer participating energy-_x000D_
intensive industries a discount from the Climate Change_x000D_
Levy in return for meeting targets for energy reductions._x000D_
From 2013 these are a 90% discount for electricity and a_x000D_
65% discount for other fuels. From 2019 this will increase_x000D_
to a 93% discount for electricity and 78% discount for_x000D_
other fuels.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1335",1343,1343,"United Kingdom","GBR",2014,"Contract for Difference_x000D_
(CfD) (2014-2020) 1 _x000D_
Contract for Difference (CfD) (2014-2020) 1","Offers Contracts for Difference (CfDs) in the electricity_x000D_
generation market for low carbon and renewable sources,_x000D_
CfDs will replace Renewable Obligation Certificates (ROCs)_x000D_
which are due to be phased out from 2017. Current policy_x000D_
offers CfD for new capacity through auctions should_x000D_
Government<U+2019>s choose to hold them. There is also a bilateral_x000D_
negotiation underway for Hinkley point C Nuclear plant.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1336",1344,1344,"United Kingdom","GBR",2014,"Energy Savings Opportunity Scheme (ESOS) *","A mandatory energy assessment scheme for all large_x000D_
undertakings (non-SMEs) in response to requirements_x000D_
contained Article 8 of the EU Energy Efficiency Directive_x000D_
(2012/27/EU). Organisations which employ 250 or more_x000D_
people, or employ fewer than 250 people but have both_x000D_
an annual turnover exceeding <U+00A3>38.9m and an annual_x000D_
balance sheet total exceeding <U+00A3>33.4m, must measure_x000D_
their total energy consumption and carry out audits of the_x000D_
energy used by their buildings, industrial processes and_x000D_
transport to identify cost-effective energy saving measures,_x000D_
by 5 December 2015 and every four years thereafter. It is_x000D_
estimated that around 10,000 organisations will participate_x000D_
in the scheme.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1337",1345,1345,"United Kingdom","GBR",2015,"Energy Performance of Buildings Directive (EPBD)_x000D_
Recast 2010 *","Extension of the EPBD requirement for public buildings_x000D_
to display Energy Performance Certificates to include_x000D_
buildings over 250m2 from 9 July 2015.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1338",1346,1346,"United Kingdom","GBR",2016,"Industrial Emissions_x000D_
Directive (as it applies_x000D_
to Large_x000D_
Combustion Plant)","As transposed into UK law, the IED replaced the LCPD_x000D_
from 1 January 2016 with similar although more stringent_x000D_
provisions set out in chapter III of the Industrial Emissions_x000D_
Directive (2010/75/EU) (IED). Those provisions already_x000D_
apply in respect to any plant newly permitted since_x000D_
7 January 2013._x000D_
Three compliance routes were available to generating_x000D_
plants; to abate emissions and comply with more stringent_x000D_
limits by 2020; to comply with less stringent limits but face_x000D_
a 1,500 hour per year load factor constrain; or to close_x000D_
by 2023.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1339",1347,1347,"United Kingdom","GBR",2016,"Private Rented Sector_x000D_
(PRS) Energy Efficiency_x000D_
Regulations","From the 1 April 2018 there will be a requirement for any_x000D_
properties rented out in the private rented sector to have_x000D_
a minimum energy performance rating of E on an Energy_x000D_
Performance Certificate (EPC). The regulations will come_x000D_
into force for new lets and renewals of tenancies with_x000D_
effect from 1 April 2018 and for all existing tenancies on_x000D_
1 April 2020 (1 April 2023 for non-domestic properties)._x000D_
It will be unlawful to rent a property which breaches the_x000D_
requirement for a minimum E rating, unless there is an_x000D_
applicable exemption.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1340",1348,1348,"United Kingdom","GBR",2017,"Capacity Mechanism 1","Part of the government<U+2019>s Electricity Market Reform_x000D_
package, the Capacity Market ensures that sufficient_x000D_
capacity is available to meet peak demand,_x000D_
encouraging construction and use of new low carbon_x000D_
generation capacity.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1341",1349,1349,"United Kingdom","GBR",2017,"Products Policy_x000D_
(Adopted)","The EU Ecodesign Directive and the Energy Labelling_x000D_
Framework Regulation respectively operate by setting_x000D_
minimum performance and information requirements for_x000D_
energy using products placed to take the least efficient_x000D_
products off the market and to give consumers clear_x000D_
information to make informed purchasing decisions. This is_x000D_
implemented through product specific EU regulations",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1342",1350,1350,"United Kingdom","GBR",2017,"Renewable heat incentive (planned funding)","The Non-Domestic Renewable Heat Incentive (RHI)_x000D_
provides financial incentives to increase the uptake of_x000D_
renewable heat by businesses, the public sector and non-_x000D_
profit organisations. Eligible installations receive quarterly_x000D_
payments for 20 years based on the amount of heat_x000D_
generated. The Domestic RHI is a government financial_x000D_
incentive to promote the use of renewable heat. Eligible_x000D_
installations receive quarterly payments for seven years for_x000D_
the amount of renewable heat it is estimated their system_x000D_
produces.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1343",1351,1351,"United Kingdom","GBR",2017,"Energy Company_x000D_
Obligation Extension","The 2015 Spending Review announced that ECO will be_x000D_
replaced with a new, lower cost scheme that will run for_x000D_
5 years (to March 2022) and will tackle the root causes of_x000D_
fuel poverty. The 5 year extension will take place in the two_x000D_
phases, with the ECO Extension (April 2017 <U+2013> Sept 2018)_x000D_
acting as a bridge between the expired ECO scheme and_x000D_
the new fuel poverty focussed scheme, ECO 3, which will_x000D_
run from Oct 2018 to March 2022.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1344",1352,1352,"United Kingdom","GBR",2017,"Energy Performance of_x000D_
Buildings Directive (EPBD)_x000D_
2017 Cost Optimal Review_x000D_
and Nearly Zero Energy_x000D_
Buildings (NZEB) (2018_x000D_
and 2020)","The Government is required to report to the European_x000D_
Commission by June 2017 to demonstrate that UK building_x000D_
standards for energy performance remain <U+2018>cost optimal<U+2019>._x000D_
Cost-optimal energy performance means that the_x000D_
lifetime cost-benefit analysis is positive. Minimum energy_x000D_
performance requirements must be compared against_x000D_
calculated cost-optimal levels using the Comparative_x000D_
Methodology Framework.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1345",1353,1353,"United Kingdom","GBR",2017,"Heat Networks Investment_x000D_
Project","The Heat Networks Investment Project (HNIP) capital_x000D_
investment programme is expected to support up to 200_x000D_
projects by 2021 through grants and loans and other_x000D_
mechanisms and to lever in up to wider investment,_x000D_
reducing bills, cutting carbon and forming a key part of_x000D_
wider urban regeneration in many locations.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1346",1354,1354,"United Kingdom","GBR",2018,"Energy Company_x000D_
Obligation 3","The 2015 Spending Review announced that ECO will be_x000D_
replaced with a new, lower cost scheme that will run for_x000D_
5 years (to March 2022) and will tackle the root causes of_x000D_
fuel poverty. The 5 year extension will take place in the two_x000D_
phases, with the ECO Extension (April 2017 <U+2013> Sept 2018)_x000D_
acting as a bridge between the expired ECO scheme and_x000D_
the new fuel poverty focussed scheme, ECO 3, which will_x000D_
run from Oct 2018 to March 2022.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1347",1355,1355,"United Kingdom","GBR",2019,"CCL Budget 2016_x000D_
Changes","Budget 2016 announced that CCL rates will increase from_x000D_
April 2019, moving to an electricity-to-gas ratio of 2.5:1_x000D_
compared to the previous 2.9:1 ratio. In the longer term, the_x000D_
government intends to rebalance the rates further, reaching_x000D_
a ratio of 1:1 by 2025. The changes in CCL between 2019_x000D_
and 2025, as well as the rates from 2025 onwards, have not_x000D_
yet been announced.",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1348",1356,1356,"United Kingdom","GBR",2008,"Products Policy (Implemented) * 2008/2009","The EU Ecodesign Directive and the Energy Labelling_x000D_
Framework Regulation respectively operate by setting_x000D_
minimum performance and information requirements for_x000D_
energy using products placed to take the least efficient_x000D_
products off the market and to give consumers clear_x000D_
information to make informed purchasing decisions. This is_x000D_
implemented through product specific EU regulations",NA,NA,NA,NA,"UNFCCC National Communications NC7"
"1349",1357,1357,"United Kingdom","GBR",2013,"energy transmission: TIIO-T1 electricity transmission price control","The independent regulator, Ofgem, has agreed up to <U+00A3>21.5 billion of funding for Great Britain<U+2019>s_x000D_
onshore transmission network under the RIIO-T1 electricity transmission price control that sets_x000D_
out funding for transmission owner activities, including investment in new and replacement_x000D_
assets. RIIO-T1 started in April 2013 and runs until 2021 and will help ensure that new_x000D_
generation can be accommodated in a timely and cost effective manner while maintaining_x000D_
network security and reliability.",NA,NA,NA,NA,"UNFCCC National Communications NC6"
